ORDER_ID|TRUCK_ID|LANGUAGE|SOURCE|REVIEW|PRIMARY_CITY|CUSTOMER_ID|YEAR|MONTH|TRUCK_BRAND
|81|en|2|"The Mega Melt's ""Miss Piggie"" grilled cheese sandwich is a testament to the power of simple, fresh ingredients. The gooey cheese oozes between perfectly toasted bread, and the sweet and savory jam adds a delightful touch of sweetness. The sandwich is hearty and satisfying, perfect for a cold evening in Toronto. The friendly staff are always happy to customize your order, and the prices are very reasonable. Overall, I highly recommend Miss Piggie to anyone looking for a mouth-watering grilled cheese sandwich."|Toronto||2022|3|The Mega Melt
|403|en|2|Peking Truck's Combo Fried Rice ShinesPeking Truck's Combo Fried Rice is a standout dish. The rice is expertly cooked, coupled with an abundant supply of crisp vegetables and tender chicken. The flavors are robust and savory, while the portion size is generous. The staff members are amiable and alert, and the ambiance is casual and welcoming. In conclusion, the Combo Fried Rice at Peking Truck is highly recommended. It was a genuinely satisfying meal.|Madrid||2022|3|Peking Truck
|410|en|2|Disappointing experience at Kitakata Ramen Bar in Barcelona. The Ice Tea was watered down and lacked flavor. The Spicy Miso Vegetable Ramen was bland, missing the promised spice, and the vegetables were overcooked. The Tonkotsu Ramen, a usual favorite, was surprisingly average with a broth that wasn't as rich as expected. The Bottled Soda was the only item that met expectations. Overall, not the quality I anticipated from a ramen bar with such a reputation.|Barcelona||2022|3|Kitakata Ramen Bar
|116|fr|2|" ""Le Revenge of the Curds est une expérience gustative inoubliable à Montréal! J'ai commandé The Classic et je n'ai pas été déçu. La combinaison parfaite de frites croustillantes, de fromage frais et de sauce brune riche et savoureuse est tout simplement délicieuse. C'est un incontournable pour tous les amateurs de poutine. Je recommande vivement!""Translation: ""The Revenge of the Curds is an unforgettable culinary experience in Montreal! I ordered The Classic and was not disappointed. The perfect combination of crispy fries, fresh cheese and rich, flavorful brown sauce is simply delicious. It's a must-try for all poutine lovers. I highly recommend it!"""|Montreal||2022|3|Revenge of the Curds
|215|en|2|The Creamy Chicken Ramen and Spicy Miso Vegetable Ramen from Kitakata Ramen Bar were absolutely delightful! The rich, creamy broth of the chicken ramen was perfectly balanced, while the spicy miso vegetable ramen offered a flavorful kick. The noodles were cooked to perfection, and the freshness of the vegetables was commendable. The bottled water and soda were a refreshing accompaniment to the meal. Overall, a fantastic dining experience in Mumbai. Kitakata Ramen Bar has certainly set the bar high for ramen places in the city.|Mumbai||2022|3|Kitakata Ramen Bar
|222|en|2| Disappointment was the main course with my Greek Salad from Cheeky Greek. The lettuce was wilted, tomatoes lacked freshness, and the olives tasted stale. The feta cheese, a key ingredient, was scarce, leaving the salad bland and unappetizing. The portion size was also smaller than expected. I had high hopes for an authentic Greek experience in Mumbai, but unfortunately, Cheeky Greek failed to deliver. The quality of ingredients and overall taste did not justify the price. I would not recommend this to anyone seeking a true taste of Greece.|Mumbai||2022|3|Cheeky Greek
|205|en|2|Not the Wurst Hot Dogs truck in Krakow offers a variety of classic hot dogs, emphasizing Chicago and New York styles. The Chicago Dog showcases a poppy seed bun, fresh beef, tomato, onion, and relish, embodying the Windy City's iconic street food. The Coney Dog, featuring an all-beef frank, mustard, sweet relish, and onions, is a mainstay of New York. The bottled soda selection enhances the hot dogs, providing a selection of traditional flavors. Overall, the food is delectable and expertly made, making it a required stop for hot dog aficionados in Krakow.|Krakow||2022|3|Not the Wurst Hot Dogs
|264|en|2|"The ""Lean Beef Tibs"" from Tasty Tibs, an Ethiopian food truck in Seoul, was an interesting culinary experience. The beef was cooked well, with a nice balance of tender and chewy textures. The seasoning was unique, offering a blend of flavors that was neither too spicy nor too mild. However, the portion size was smaller than expected. The service was quick and efficient, but lacked a personal touch. Overall, it was a decent meal, but it didn't quite stand out in the crowded food truck scene in Seoul."|Seoul||2022|3|Tasty Tibs
|262|en|2|Seitan Buffalo Wings at Plant Palace, Seoul, offered an intriguing dining experience. The texture bore a striking resemblance to real chicken, and the buffalo sauce delivered a pleasing zing. Yet, the seitan itself could have benefited from a richer flavor profile. The serving size was ample, and the staff provided swift service. On the whole, the meal was satisfactory, but fell slightly short in the flavor department. If you're a vegetarian enthusiast or eager to venture into novel culinary territories, it's a dish worth sampling.|Seoul||2022|3|Plant Palace
|267|en|2|Disappointment was the theme of my meal at Cheeky Greek in Seoul. The Gyro Plate lacked the expected explosion of flavors, with the meat being dry and the tzatziki sauce barely there. The Greek Salad was equally underwhelming, consisting mostly of lettuce and lacking in olives and feta cheese. Even the bottled water was room temperature. For a restaurant boasting authentic Gyros, this was a far cry from the real deal. I expected more from a place named Cheeky Greek.|Seoul||2022|3|Cheeky Greek
|256|en|2|I was absolutely thrilled with my recent visit to Freezing Point in Seoul! The ice cream was nothing short of spectacular. I ordered a Two Scoop Bowl and an Ice Cream Sandwich, and both were incredibly delicious. The ice cream was smooth and creamy, with rich, authentic flavors that truly satisfied my sweet tooth. The ice cream sandwich was a perfect blend of soft cookies and cold ice cream, making it a delightful treat. The service was prompt and friendly, and the overall atmosphere was lively and fun. I highly recommend Freezing Point to anyone looking for a fantastic ice cream experience in Seoul. Can't wait to return!|Seoul||2022|3|Freezing Point
|448|en|2|The Peking Truck's combo lo mein and wonton soup were a delight to my taste buds. The lo mein was perfectly cooked, with a generous portion of fresh vegetables and tender chicken. The wonton soup was steaming hot and flavorful, with the perfect balance of savory and sweet. The service was friendly and efficient, and the atmosphere was relaxed and inviting. Overall, I had an excellent experience at the Peking Truck, and I would highly recommend it to anyone looking for a tasty Chinese meal in Cape Town.|Cape Town||2022|3|Peking Truck
|436|en|2|"The ""Freezing Point"" truck in Cape Town offered a Popsicle that proved to be neither remarkable nor underwhelming. The flavor provided a sweet, fruity sensation that was quite revitalizing, fulfilling the expectation of a refreshing treat. Although, the texture was slightly off, with a more icy consistency compared to the desired creamy feel. As far as presentation goes, its simplicity is acceptable considering the nature of the item. To sum up, the experience was average, neither surpassing nor falling short of expectations."|Cape Town||2022|3|Freezing Point
|304|en|2|"""The Mac Shack's Lobster Mac & Cheese is an absolute delight! The perfect blend of creamy cheese and succulent lobster creates a symphony of flavors that dance on your taste buds. Each bite is a testament to their commitment to quality and taste. The portion size is generous, ensuring you're left satisfied. If you're in Sao Paulo and craving comfort food, The Mac Shack is a must-visit. Their Lobster Mac & Cheese is a true culinary gem!"""|Sao Paulo||2022|3|The Mac Shack
|239|en|2|A diverse assortment of flavors graced the Tandoori Mixed Grill from Nani's Kitchen. Each taste was unique yet harmonious, showcasing a well-balanced marination of spices. Nevertheless, the chicken could have been more tender, and the paneer was overcooked to some extent. The accompanying mint chutney and onion salad provided a delightful contrast, adding freshness to the grilled dishes. The portion size was commendable, ensuring an excellent value for the investment. The meal was generally pleasurable, but there is potential for enhancements in specific areas.|Delhi||2022|3|Nani's Kitchen
|45|en|2|" ""Absolutely delighted with my order from Better Off Bread in Seattle! I went with the classic Hot Ham & Cheese, and it did not disappoint. The bread was fresh and perfectly toasted, the ham was tender and flavorful, and the cheese was melted to perfection. The combination of the ingredients was simply delicious. I highly recommend Better Off Bread for anyone in Seattle looking for a tasty sandwich. You won't be disappointed!"" (113 words)"|Seattle||2022|3|Better Off Bread
|113|en|2|"Disappointment was the main course at Le Coin des Crêpes. The Breakfast Crepe, far from the delight I anticipated, was a bland and uninspiring affair. The crepe itself was overcooked, lacking the delicate texture one expects. The fillings were sparse, barely making an appearance in the overpriced dish. The bottled water, the only saving grace, was just that - water. For a restaurant in Montreal, known for its culinary scene, this was a miss. I expected more from a place named ""The Corner of Crepes""."|Montreal||2022|3|Le Coin des Crêpes
|222|en|2|The Cheeky Greek truck in Mumbai served up a Gyro Plate and Greek Salad as promised. The gyro meat was flavorful and tender, while the salad was fresh and crisp. The portion sizes were reasonable for the price. However, the pita bread accompanying the gyro was a bit dry. The bottled water was standard. Overall, it was a satisfactory meal, but there's certainly room for improvement in some areas.|Mumbai||2022|3|Cheeky Greek
|285|en|2|Fresh and crispy bread, generous and flavorful fillings, and a perfect balance of flavors - the Italian sandwich from Better Off Bread in Sydney has it all. This delicious sandwich is a must-try for any foodie looking to satisfy their hunger and experience the best of Sydney's culinary scene. With its combination of fresh ingredients and perfect flavor combination, this sandwich is a delight to eat. Whether you're in the mood for a hearty meal or just want to treat your taste buds, the Italian sandwich from Better Off Bread is sure to hit the spot.|Sydney||2022|3|Better Off Bread
|403|en|2|Disappointing experience at Peking Truck in Madrid. The Combo Lo Mein was overcooked and lacked flavor, while the Combo Fried Rice was too oily and the vegetables were undercooked. The Wonton Soup was the only saving grace, but it wasn't enough to make up for the rest of the meal. I expected more from a Chinese food truck, especially one with a name like Peking Truck. I won't be returning.|Madrid||2022|3|Peking Truck
|439|en|2|Underwhelming experience with too much repetition.The Mac Shack's offerings failed to impress, with the lobster mac & cheese being a major disappointment. The dish lacked the promised lobster flavor and tenderness, leaving much to be desired. The buffalo mac & cheese, although visually appealing, was overpowered by processed cheese and lacked the promised kick of buffalo sauce. The standard mac & cheese, despite being the cheapest option, was equally uninspired. To make matters worse, the accompanying bottled soda was flat and unrefreshing. Overall, the meal was a major let-down, leaving me hungry and dissatisfied.|Cape Town||2022|3|The Mac Shack
|436|en|2|"A delightful popsicle from the ""Freezing Point"" truck in Cape Town was an ideal remedy for a sweltering day. The ice cream's silky texture and perfectly frozen popsicle delivered a satisfying experience. Service was engaging and efficient, culminating in a strongly positive encounter. I wholeheartedly endorse this truck to those seeking a revitalizing and refreshing treat in Cape Town."|Cape Town||2022|3|Freezing Point
|436|en|2|ice cream sandwich at Freezing Point, Cape Town, was a standard experience. Creamy ice cream and fresh cookies delivered a pleasing texture duality. However, it lacked the wow factor, falling short of exceptionally memorable desserts. Portion size was commendable, neither excessive nor insufficient. Adequate dessert option, though unremarkable compared to past ice cream sandwiches tasted.|Cape Town||2022|3|Freezing Point
|303|en|2|This order summary is for a Lean Burrito Bowl at a truck named Guac n' Roll in Sao Paulo. Unfortunately, the food was not satisfactory. The rice in the bowl was undercooked and the chicken was dry and tough. The toppings were sparse and the overall flavor was bland. The service was also poor, with a long wait time and a rude staff member. Overall, this was a very disappointing experience and I would not recommend Guac n' Roll to anyone.|Sao Paulo||2022|3|Guac n' Roll
|45|en|2|The Better Off Bread truck's offerings truly exceeded my expectations. The hot ham and cheese and pastrami sandwiches were both incredibly flavorful and satisfying. The bread was fresh and perfectly toasted, and the ingredients were top-notch. The bottled soda selection was impressive, and the friendly staff were more than happy to answer any questions I had. Overall, I couldn't recommend Better Off Bread more highly to anyone looking for a quick and delicious bite in Seattle.|Seattle||2022|3|Better Off Bread
|73|en|2|Peking Truck's Chinese menu is an absolute delight. Recent order of combo fried rice was flavorful, with fresh vegetables and tender chicken. Wonton soup, steaming hot, brimmed with savory wontons. Refreshing, chilled bottled water added to the satisfaction. Highly recommend this truly satisfying meal.|New York City||2022|3|Peking Truck
|73|en|2|"""Peking Truck in New York City is a hidden gem! The Chinese menu is fantastic, and the Combo Lo Mein and Combo Fried Rice are absolutely delicious. The Wonton Soup was the perfect starter, full of flavor and just the right amount of heat. The Bottled Soda and Ice Tea were refreshing accompaniments to the meal. The truck's service was quick and efficient, making it an ideal choice for a busy day in the city. I highly recommend Peking Truck for anyone craving authentic Chinese cuisine. Can't wait to visit again!"""|New York City||2022|3|Peking Truck
